scaffold	start	end	Fst_AUR_ARI	Fst_BIF_ARI	Fst_CAL_ARI	Fst_CLV_ARI	Fst_FLE_ARI	Fst_LON_ARI	Fst_AUR_BIF	Fst_AUR_CAL	Fst_AUR_CLV	Fst_AUR_FLE	Fst_LON_AUR	Fst_ARI_AUS	Fst_AUR_AUS	Fst_BIF_AUS	Fst_CAL_AUS	Fst_CLV_AUS	Fst_FLE_AUS	Fst_LON_AUS	Fst_CAL_BIF	Fst_CLV_BIF	Fst_FLE_BIF	Fst_LON_BIF	Fst_CAL_FLE	Fst_LON_CAL	Fst_CAL_CLV	Fst_FLE_CLV	Fst_LON_CLV	Fst_LON_FLE	Fst_PUN_ARI	Fst_PUN_AUR	Fst_PUN_AUS	Fst_PUN_BIF	Fst_PUN_CAL	Fst_PUN_CLV	Fst_PUN_FLE	Fst_PUN_LON	dxy_AUR_ARI	dxy_BIF_ARI	dxy_CAL_ARI	dxy_CLV_ARI	dxy_FLE_ARI	dxy_LON_ARI	dxy_AUR_BIF	dxy_AUR_CAL	dxy_AUR_CLV	dxy_AUR_FLE	dxy_LON_AUR	dxy_ARI_AUS	dxy_AUR_AUS	dxy_BIF_AUS	dxy_CAL_AUS	dxy_CLV_AUS	dxy_FLE_AUS	dxy_LON_AUS	dxy_CAL_BIF	dxy_CLV_BIF	dxy_FLE_BIF	dxy_LON_BIF	dxy_CAL_FLE	dxy_LON_CAL	dxy_CAL_CLV	dxy_FLE_CLV	dxy_LON_CLV	dxy_LON_FLE	dxy_PUN_ARI	dxy_PUN_AUR	dxy_PUN_AUS	dxy_PUN_BIF	dxy_PUN_CAL	dxy_PUN_CLV	dxy_PUN_FLE	dxy_PUN_LON	pi_ARI	pi_AUR	pi_AUS	pi_BIF	pi_CAL	pi_CLV	pi_FLE	pi_LON	pi_PUN	fst_Prin1	dxy_Prin1	pi_Prin1	gene_count_per_window	cm/mb	tree_concordance
LG6	12000001	12500000	0.5123	0.6122	0.463	0.7178	0.4451	0.4696	0.6152	0.2731	0.7239	0.4391	0.2951	0.4607	0.3205	0.5986	0.1854	0.6967	0.4219	0.2069	0.5876	0.7067	0.5913	0.5925	0.3903	0.0682	0.7048	0.71	0.7059	0.3974	0.4323	0.2762	0.0689	0.5728	0.1107	0.6788	0.3847	0.1455	0.01240432	0.014165016	0.012148027	0.015239376	0.010838384	0.012351897	0.014633569	0.007977554	0.015759218	0.010735069	0.008320701	0.012046949	0.008797883	0.01520445	0.007319676	0.015561379	0.011362759	0.007727289	0.014657533	0.015069437	0.01392393	0.01510865	0.01061157	0.006000306	0.015682718	0.015287341	0.015827218	0.010899303	0.012015633	0.008443712	0.006098879	0.014948219	0.006686844	0.015579967	0.011020984	0.007173138	0.004506187	0.004380282	0.005085799	0.003906193	0.005343281	0.002586014	0.004738042	0.005301041	0.00560707	0.018437402	1.412178926	0.430045114	40	7.844576653	0.9648781
LG6	12500001	13000000	0.5373	0.5834	0.4435	0.6857	0.5286	0.4387	0.5751	0.2273	0.672	0.4312	0.2119	0.4038	0.2067	0.4778	0.0774	0.5698	0.3237	0.0965	0.5011	0.6389	0.5698	0.4952	0.3778	0.0522	0.6031	0.682	0.6028	0.3621	0.4321	0.2545	0.0462	0.4944	0.1251	0.5876	0.3406	0.1198	0.010893044	0.013349702	0.010764132	0.012684802	0.010600776	0.010626022	0.013885457	0.007788856	0.013043274	0.009280082	0.007324725	0.011063193	0.008176009	0.014359297	0.007424743	0.013221711	0.010087955	0.007524733	0.013846059	0.013107855	0.013758819	0.01376678	0.0101973	0.006537369	0.013218647	0.012627369	0.013118284	0.009681648	0.011323542	0.008629697	0.007306202	0.014650409	0.007861475	0.013173775	0.009964021	0.007716315	0.003510803	0.004134688	0.006910948	0.004614992	0.00617243	0.002580252	0.004031534	0.006108846	0.006472576	-3.539733477	-0.779038829	0.872554271	44	4.484546903	0.9295289
LG6	13000001	13500000	0.4504	0.4654	0.4098	0.6438	0.4557	0.44	0.44	0.1915	0.648	0.4351	0.2091	0.389	0.2224	0.4008	0.1583	0.585	0.3673	0.1824	0.4099	0.5783	0.4739	0.4204	0.3765	0.0895	0.6061	0.6568	0.6215	0.4234	0.3964	0.2448	0.0411	0.4122	0.1789	0.587	0.3881	0.1966	0.010545497	0.012333202	0.0103846	0.012457555	0.009718952	0.011045073	0.012211879	0.007104138	0.012350572	0.009610693	0.007336073	0.010721169	0.008101695	0.012697265	0.007565364	0.012882346	0.009725754	0.008032752	0.011949999	0.012580897	0.011928149	0.012742703	0.009358695	0.00633933	0.012524821	0.012118867	0.012847114	0.010599694	0.010838247	0.008469059	0.00642963	0.013142819	0.007913458	0.01300252	0.010437702	0.008589213	0.004394073	0.004799437	0.005972702	0.006101338	0.005537159	0.002805931	0.003970762	0.005729352	0.00591613	-4.455679164	-1.931960596	1.127087234	32	2.147003774	0.9442875
LG6	13500001	14000000	0.5689	0.6059	0.5044	0.7411	0.519	0.5169	0.6047	0.2658	0.7479	0.5419	0.2724	0.4736	0.2705	0.5354	0.1351	0.6791	0.437	0.1483	0.5385	0.7014	0.6054	0.5581	0.4742	0.0955	0.6929	0.7475	0.7099	0.4948	0.4958	0.3046	0.0649	0.5578	0.1903	0.6931	0.4653	0.1978	0.012317428	0.016582659	0.012787948	0.018029479	0.010973355	0.012611303	0.015920136	0.007322582	0.017648034	0.011181684	0.007150057	0.013075498	0.007897328	0.016844774	0.007210008	0.017883819	0.011717976	0.007080486	0.015993518	0.018166088	0.015994765	0.016092837	0.011751116	0.006145314	0.017721614	0.017423411	0.017717423	0.011658586	0.013130644	0.007915425	0.006512275	0.017271598	0.007597532	0.017934729	0.011859803	0.007338173	0.004130098	0.00361267	0.006027744	0.005349363	0.005486363	0.002989561	0.003764176	0.005072284	0.00548098	1.081063021	3.592471287	0.543714641	49	1.560864989	0.9759282
LG6	14000001	14500000	0.6	0.6628	0.5398	0.7827	0.5954	0.5539	0.6519	0.2874	0.78	0.6054	0.2894	0.5307	0.2929	0.6118	0.1641	0.7409	0.5362	0.1789	0.6113	0.7384	0.6675	0.6194	0.5487	0.1096	0.7422	0.7978	0.7507	0.5649	0.5633	0.3234	0.0535	0.6336	0.1894	0.7577	0.5654	0.2027	0.011660327	0.01678531	0.011420254	0.018691048	0.010533144	0.011665016	0.016832144	0.006700806	0.01823953	0.011332893	0.006580462	0.011450818	0.006844055	0.016913982	0.005966414	0.018425732	0.011248068	0.006051088	0.016597886	0.018877561	0.016418156	0.016853793	0.011324488	0.005323494	0.018398045	0.018516254	0.018182495	0.011657109	0.011581367	0.006772594	0.004540197	0.016858819	0.005901079	0.018437513	0.011273365	0.005945204	0.003186256	0.003342762	0.004367221	0.004529743	0.00444525	0.002452778	0.002726097	0.004271277	0.003832879	4.227353066	2.569509623	-0.995406775	63	1.94089518	0.9844398
LG6	14500001	15000000	0.6817	0.6155	0.6128	0.8154	0.5885	0.607	0.6475	0.4564	0.8469	0.6403	0.4583	0.5715	0.4164	0.5827	0.1659	0.7738	0.54	0.1592	0.6079	0.7366	0.6071	0.604	0.5782	0.0949	0.8102	0.8051	0.8057	0.5675	0.5914	0.4427	0.0471	0.5997	0.1961	0.7915	0.5608	0.1933	0.011391645	0.014998379	0.010966635	0.017232882	0.010377422	0.010886684	0.014059037	0.006122835	0.016831483	0.010207529	0.006281399	0.011107858	0.00654791	0.01456466	0.004520966	0.016874481	0.010377624	0.004517868	0.014586905	0.017100688	0.014481808	0.014505112	0.010194027	0.003588465	0.01679237	0.016876866	0.016752762	0.010007623	0.01147922	0.006519244	0.00377716	0.015004154	0.004603297	0.016922934	0.010554381	0.004619844	0.002935157	0.001952653	0.003646194	0.004866355	0.002987947	0.001745115	0.002938891	0.003070208	0.003259251	5.685023316	-0.488102938	-2.064002558	66	3.444221901	0.9844982
LG6	15000001	15500000	0.5919	0.6249	0.5532	0.7801	0.5365	0.5664	0.6113	0.3255	0.7788	0.5064	0.3184	0.5736	0.3233	0.6075	0.1777	0.7615	0.4673	0.1542	0.5941	0.7119	0.6053	0.5967	0.4529	0.087	0.756	0.7635	0.7597	0.461	0.5862	0.3439	0.0437	0.6189	0.1949	0.7692	0.4888	0.1815	0.011384304	0.015627269	0.011514598	0.017169876	0.01020598	0.011521869	0.015855108	0.006908025	0.017456047	0.009686215	0.006747569	0.011485476	0.006610196	0.016188606	0.005446373	0.017238609	0.009414816	0.005110595	0.016153403	0.017781128	0.015541391	0.016082355	0.009573951	0.004726276	0.017240794	0.017058307	0.017295831	0.009479789	0.011432277	0.006607137	0.00382631	0.016222134	0.005413942	0.017159941	0.009518827	0.005179159	0.003136076	0.003372653	0.003676718	0.005046581	0.004162201	0.002067463	0.003606056	0.003998451	0.003364337	3.057847556	0.625608618	-1.127714681	71	5.586188817	0.9838521
LG7	1	500000	0.5031	0.6414	0.5345	0.8208	0.5463	0.5267	0.5671	0.2102	0.7399	0.4526	0.2021	0.5142	0.2086	0.5933	0.1868	0.7675	0.4745	0.2175	0.5955	0.7773	0.6342	0.5857	0.4889	0.169	0.7799	0.8094	0.7637	0.4666	0.5468	0.2489	0.0999	0.6222	0.2434	0.7895	0.5049	0.2168	0.009817606	0.012825341	0.009438949	0.016133686	0.008416182	0.009681	0.013543168	0.006123185	0.016075869	0.009107455	0.006354052	0.009320268	0.006236002	0.013561236	0.005430999	0.016313392	0.008931358	0.006070361	0.013249531	0.016303573	0.013046068	0.013541702	0.008856345	0.005326098	0.016335167	0.016172928	0.016302024	0.008890743	0.009181005	0.006200772	0.004283557	0.013534148	0.00555189	0.016158955	0.008640634	0.005539896	0.002589822	0.004534314	0.003881194	0.003661857	0.003739224	0.001523154	0.00275961	0.004085594	0.003193945	3.249445298	-2.411472121	-1.636588094	98	0.850886068	0.9922874
LG7	500001	1000000	0.5253	0.6437	0.4954	0.7648	0.5552	0.5169	0.5567	0.1035	0.6888	0.4281	0.1231	0.5418	0.1972	0.5585	0.1498	0.6926	0.4706	0.1587	0.5224	0.6792	0.6056	0.5439	0.3894	0.0556	0.6596	0.7238	0.677	0.4077	0.521	0.1916	0.1609	0.5608	0.1422	0.6768	0.3973	0.1324	0.011104927	0.014372695	0.010972596	0.016568847	0.009618187	0.011100255	0.014196397	0.005933928	0.016255506	0.009119327	0.005946904	0.011338618	0.006433834	0.013541934	0.006172941	0.01622219	0.009746283	0.00609827	0.013865268	0.015812822	0.013656425	0.014057287	0.008929959	0.005532206	0.01612705	0.015725679	0.016153537	0.008904163	0.011098	0.006583417	0.005924911	0.014201389	0.006296849	0.015917142	0.008479674	0.005992878	0.002805328	0.004645971	0.004316532	0.00436834	0.005181687	0.002889532	0.003167726	0.004836081	0.004369374	-0.265777143	-0.986215669	-0.345058229	70	0.308350391	0.9724773
LG7	1000001	1500000	0.5537	0.6792	0.5254	0.8135	0.5165	0.562	0.6472	0.194	0.8035	0.5223	0.2763	0.5578	0.2942	0.6565	0.2172	0.7925	0.5189	0.2782	0.6237	0.7686	0.6303	0.668	0.4913	0.0922	0.7776	0.8099	0.808	0.5408	0.5285	0.248	0.0676	0.6432	0.1989	0.7885	0.4971	0.2488	0.008479903	0.012835116	0.008205233	0.014332196	0.007137382	0.008094698	0.013359496	0.004266894	0.014154414	0.00877943	0.004374484	0.008147792	0.004797382	0.013571469	0.004439124	0.013819451	0.008363323	0.004418752	0.013280391	0.014271493	0.012740392	0.012888313	0.008225334	0.003418049	0.014236766	0.014059504	0.013831409	0.007801112	0.008485232	0.004999099	0.003298314	0.013662661	0.004515315	0.014395947	0.008876533	0.004441062	0.002317353	0.002864183	0.00271923	0.003404954	0.003152611	0.001424589	0.003093016	0.002572936	0.003077769	4.600043029	-5.105555901	-2.575093162	77	3.551321454	0.980338
