scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG9,3800001,3850000,3826292,3014,1594,19.1238,22.0488,-0.071,-0.0154,-0.0112
LG9,3850001,3900000,3874909,2782,1483,4.985,10.4225,-0.3529,-0.0289,-0.0239
LG9,3900001,3950000,3924767,2692,1464,4.5163,5.2787,-0.0778,-0.0036,-0.0032
LG9,3950001,4000000,3976783,2534,1247,1.7537,2.6537,-0.2042,-0.0048,-0.0045
LG9,4000001,4050000,4024080,3336,1548,22.8513,11.1512,0.3441,0.0567,0.0509
LG9,4050001,4100000,4068498,2506,1186,8.945,9.9825,-0.0548,-0.0057,-0.005
LG9,4100001,4150000,4127844,2765,1445,17.5675,18.7675,-0.033,-0.0065,-0.0054
LG9,4150001,4200000,4175414,2800,1407,7.6075,8.97,-0.0822,-0.0088,-0.007
LG9,4200001,4250000,4226000,2744,1649,13.455,14.7925,-0.0473,-0.009,-0.0069
LG9,4250001,4300000,4272424,2151,938,7.4188,19.3438,-0.4456,-0.0727,-0.0556
LG9,4300001,4350000,4322362,2965,1434,4.6937,3.4813,0.1483,0.0046,0.0044
LG9,4350001,4400000,4375341,2879,1571,6.1625,14.275,-0.3969,-0.0373,-0.0317
LG9,4400001,4450000,4425645,2894,1526,7.5912,17.7538,-0.401,-0.0466,-0.0358
LG9,4450001,4500000,4481209,2446,1095,11.5138,13.3137,-0.0725,-0.015,-0.0129
LG9,4500001,4550000,4523767,3490,1535,50.5088,14.7337,0.5483,0.193,0.1466
LG9,4550001,4600000,4575471,3122,1606,8.5562,8.3187,0.0141,0.0008,0.0007
LG9,4600001,4650000,4625531,2732,1365,4.1762,6.5638,-0.2223,-0.01,-0.0091
LG9,4650001,4700000,4674520,2683,1411,3.9813,2.8687,0.1624,0.005,0.0042
LG9,4700001,4750000,4725315,2358,1218,2.9112,2.2988,0.1176,0.0027,0.0023
LG9,4750001,4800000,4773234,3050,1439,9.19,23.44,-0.4367,-0.0624,-0.0489
LG9,4800001,4850000,4825317,2823,1396,6.505,5.2675,0.1051,0.0048,0.0045
LG9,4850001,4900000,4874375,2740,1493,4.1087,5.6212,-0.1554,-0.0065,-0.0059
LG9,4900001,4950000,4925241,3256,1539,9.3513,13.7387,-0.19,-0.0179,-0.0154
LG9,4950001,5000000,4976484,3567,1797,22.4463,9.6713,0.3978,0.0527,0.0446
LG9,5000001,5050000,5024296,3473,1783,13.31,13.0225,0.0109,0.0014,0.0012
LG9,5050001,5100000,5076537,2906,1502,7.2638,12.5512,-0.2668,-0.0218,-0.0193
LG9,5100001,5150000,5124423,2705,1439,7.9387,15.2012,-0.3139,-0.0407,-0.0331
LG9,5150001,5200000,5176180,3217,1791,10.1825,13.97,-0.1568,-0.0191,-0.0161
LG9,5200001,5250000,5222646,3235,1785,65.7787,16.1288,0.6062,0.1351,0.1096
LG9,5250001,5300000,5276226,3464,1655,15.8025,14.4275,0.0455,0.0043,0.0039
LG9,5300001,5350000,5325686,3364,1647,10.8325,9.92,0.044,0.0026,0.0024
LG9,5350001,5400000,5374962,3600,1819,45.765,34.9275,0.1343,0.039,0.0332
LG9,5400001,5450000,5423141,2971,1528,18.1525,37.34,-0.3458,-0.1055,-0.0753
LG9,5450001,5500000,5476137,3056,1672,10.9812,7.7687,0.1713,0.0111,0.0097
LG9,5500001,5550000,5524867,3460,1975,28.0712,30.4712,-0.041,-0.0097,-0.0081
LG9,5550001,5600000,5572663,2988,1502,7.1462,4.3963,0.2382,0.0202,0.0178
LG9,5600001,5650000,5625648,3180,1548,7.3088,10.1462,-0.1626,-0.0164,-0.0126
LG9,5650001,5700000,5675157,3631,1964,7.1162,9.7662,-0.157,-0.0126,-0.0114
LG9,5700001,5750000,5726581,3071,1661,2.1262,3.7512,-0.2765,-0.0065,-0.006
LG9,5750001,5800000,5775744,3313,1729,17.8887,8.4387,0.3589,0.0413,0.0339
LG9,5800001,5850000,5824308,3359,1775,15.7788,12.6288,0.1109,0.0106,0.0092
LG9,5850001,5900000,5873121,3207,1714,11.645,14.1825,-0.0982,-0.0096,-0.0079
LG9,5900001,5950000,5921446,2525,1380,19.4213,9.0838,0.3627,0.0386,0.0337
LG9,5950001,6000000,5975117,2990,1487,8.66,9.1225,-0.026,-0.0018,-0.0016
LG9,6000001,6050000,6024203,2781,1482,10.9387,12.9013,-0.0823,-0.0092,-0.0078
LG9,6050001,6100000,6079466,3102,1590,15.155,9.4925,0.2297,0.0211,0.0188
LG9,6100001,6150000,6122739,3599,1763,19.2737,11.4363,0.2552,0.0254,0.0212
LG9,6150001,6200000,6177228,3166,1646,13.2688,7.3063,0.2898,0.0255,0.0221
LG9,6200001,6250000,6223479,2060,1069,11.3,10.45,0.0391,0.0061,0.0049
LG9,6250001,6300000,6275601,3068,1744,13.885,18.41,-0.1401,-0.0158,-0.0136
LG9,6300001,6350000,6323515,3813,1996,8.69,6.9775,0.1093,0.007,0.0062
LG9,6350001,6400000,6374988,3816,2010,16.8063,13.7813,0.0989,0.0116,0.01
LG9,6400001,6450000,6424657,3150,1563,13.9312,10.4187,0.1443,0.0142,0.0123
LG9,6450001,6500000,6476126,3186,1650,15.5375,12.95,0.0908,0.0112,0.0095
LG9,6500001,6550000,6526209,2365,1179,7.5913,5.7913,0.1345,0.0085,0.0077
