scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG3,10400001,10450000,10424004,3592,1561,50.9891,42.7109,0.0883,0.0477,0.0316
LG3,10450001,10500000,10473291,2655,1323,36.0438,19.4531,0.2989,0.1241,0.0871
LG3,10500001,10550000,10526904,3312,1464,9.6766,7.9547,0.0977,0.0131,0.0081
LG3,10550001,10600000,10573801,3300,1601,14.9719,19.2594,-0.1253,-0.0246,-0.0188
LG3,10600001,10650000,10617133,2102,1140,5.0203,5.0328,-0.0012,-0.0001,-0.0001
LG3,10650001,10700000,10677473,2032,856,47.3781,8.7906,0.687,0.4009,0.2664
LG3,10700001,10750000,10725225,3864,1900,118.3141,27.8078,0.6194,0.2776,0.2219
LG3,10750001,10800000,10774442,4580,1838,16.6078,26.5797,-0.2309,-0.0714,-0.0452
LG3,10800001,10850000,10828186,3589,1891,17.7781,21.3125,-0.0904,-0.0254,-0.0176
LG3,10850001,10900000,10870220,2776,1539,61.225,10.0125,0.7189,0.1859,0.1232
LG3,10900001,10950000,10925597,4417,2280,103.8969,30.7031,0.5438,0.1899,0.1331
LG3,10950001,11000000,10972412,5013,2634,89.3562,49.2938,0.2889,0.1692,0.1107
LG3,11000001,11050000,11033411,2257,1434,31.7516,16.9797,0.3031,0.1029,0.0722
LG3,11050001,11100000,11074742,3739,1860,39.6594,21.9375,0.2877,0.1228,0.0672
LG3,11100001,11150000,11124284,4078,2011,55.9281,41.1906,0.1517,0.076,0.0472
LG3,11150001,11200000,11171319,1995,1074,42.0453,26.1672,0.2328,0.1546,0.096
LG3,11200001,11250000,11225231,5631,2887,77.2813,47.55,0.2382,0.0859,0.0585
LG3,11250001,11300000,11274171,6373,3052,109.7891,48.4609,0.3875,0.1684,0.1211
LG3,11300001,11350000,11326623,3759,1598,30.7141,22.8234,0.1474,0.0497,0.0347
LG3,11350001,11400000,11380245,3873,1698,85.1047,20.6391,0.6096,0.3023,0.1934
LG3,11400001,11450000,11430723,3277,1807,74.0625,12.0781,0.7196,0.2614,0.1749
LG3,11450001,11500000,11475067,5163,2602,57.3125,21.0,0.4637,0.1612,0.0884
LG3,11500001,11550000,11521281,4811,2555,74.6406,28.8687,0.4422,0.2177,0.1305
LG3,11550001,11600000,11579283,5718,2801,63.5156,31.8437,0.3321,0.0982,0.0759
LG3,11600001,11650000,11625175,6497,2999,46.4813,25.2094,0.2967,0.0777,0.054
LG3,11650001,11700000,11673272,2588,1573,58.7484,18.8703,0.5138,0.2182,0.1718
LG3,11700001,11750000,11718518,2659,996,34.5922,19.6672,0.2751,0.1709,0.1133
LG3,11750001,11800000,11773934,3738,1684,40.6625,18.4063,0.3768,0.137,0.0879
LG3,11800001,11850000,11829567,1288,568,8.3313,3.5594,0.4013,0.0787,0.0581
LG3,11850001,11900000,11884608,2252,1074,45.6047,12.2516,0.5765,0.1841,0.1395
LG3,11900001,11950000,11926074,4371,1998,66.8,34.6531,0.3169,0.1157,0.079
LG3,11950001,12000000,11971136,3731,2041,155.0047,36.8516,0.6158,0.3156,0.2373
LG3,12000001,12050000,12021489,2968,1529,23.5359,28.1484,-0.0892,-0.0729,-0.0373
LG3,12050001,12100000,12082052,2269,1252,33.2844,27.9312,0.0874,0.0279,0.0198
LG3,12100001,12150000,12129285,4866,2390,59.6813,17.775,0.541,0.1263,0.0989
LG3,12150001,12200000,12167509,2356,1086,24.1734,23.7828,0.0081,0.0024,0.0017
LG3,12200001,12250000,12223922,5232,2308,104.8938,42.45,0.4238,0.1903,0.1318
LG3,12250001,12300000,12282626,3373,1605,20.5719,12.8188,0.2322,0.0216,0.019
LG3,12300001,12350000,12330229,3153,1439,46.4625,19.6156,0.4063,0.188,0.1211
LG3,12350001,12400000,12379789,2626,1390,61.3828,12.1766,0.6689,0.3189,0.2247
LG3,12400001,12450000,12419307,3097,1582,74.0906,18.2781,0.6042,0.3571,0.2485
LG3,12450001,12500000,12480221,2444,1012,27.3141,12.5609,0.37,0.1259,0.0942
LG3,12500001,12550000,12524293,4936,2435,126.7703,42.4172,0.4986,0.2458,0.1592
LG3,12550001,12600000,12577539,3369,1621,59.4719,12.8031,0.6457,0.2254,0.1406
LG3,12600001,12650000,12626506,3989,1719,59.9672,20.6766,0.4872,0.1291,0.0978
LG3,12650001,12700000,12670536,3454,1677,32.0594,23.7344,0.1492,0.0438,0.0335
LG3,12700001,12750000,12726980,2112,1186,34.7875,35.3906,-0.0086,-0.0056,-0.0034
LG3,12750001,12800000,12777881,4372,1973,37.3047,32.3797,0.0707,0.0283,0.021
LG3,12800001,12850000,12821553,3370,1553,28.5734,27.4578,0.0199,0.0063,0.005
LG3,12850001,12900000,12874914,2684,1148,24.6703,21.6547,0.0651,0.0229,0.0172
LG3,12900001,12950000,12923196,3521,1656,81.5313,33.675,0.4154,0.1653,0.1222
LG3,12950001,13000000,12981972,3222,1642,36.1984,25.9109,0.1656,0.0329,0.0262
LG3,13000001,13050000,13025493,3361,1786,36.2,34.6156,0.0224,0.012,0.0078
LG3,13050001,13100000,13074993,2795,1171,18.2484,34.2453,-0.3047,-0.1285,-0.0904
LG3,13100001,13150000,13123924,1616,629,9.75,9.7781,-0.0014,-0.0005,-0.0004
LG3,13150001,13200000,13178084,2208,1018,20.4359,15.4672,0.1384,0.0452,0.032
LG3,13200001,13250000,13229795,3184,1569,66.325,31.075,0.3619,0.1759,0.1296
LG3,13250001,13300000,13277575,2500,1352,19.6328,17.3422,0.062,0.0181,0.014
LG3,13300001,13350000,13323467,3941,2071,43.4516,29.2141,0.1959,0.055,0.0394
